model,distance,dataset,mr_id,positive_distance,negative_distance,violated,base,positive,negative
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.469584,0.43235,True,Two men are standing on the sidewalk with their instruments on their back.,Two men on street.,Men playing street music.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.969106,0.929892,True,Two men are standing on the sidewalk with their instruments on their back.,Two men on street.,Men playing street music.
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,15.209978,14.469326,True,Two men are standing on the sidewalk with their instruments on their back.,Two men on street.,Men playing street music.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.572904,0.529967,True,Two men are standing on the sidewalk with their instruments on their back.,Two men on street.,Men playing street music.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.497508,0.472926,True,Two men are standing on the sidewalk with their instruments on their back.,Two men on street.,Men playing street music.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.469398,0.431827,True,Two men are standing on the sidewalk with their instruments on their back.,Two men on street.,Men playing street music.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,19.493823,18.480284,True,The two dogs are running on the grass.,There are pets on the grass,The dogs are laying on the grass
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,25.136581,21.876801,True,a broen haired woman wearing a black coat with coffee in her hand,A brunette has coffee.,A man has coffee.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,0.481021,0.433574,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-qqp,MR3-Duplicate-Question,0.980837,0.931208,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-qqp,MR3-Duplicate-Question,15.093096,14.230965,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,0.560222,0.531323,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,0.490663,0.463437,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,0.481321,0.433946,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,25.726178,25.398429,True,"""Why is every single question I ask on Quora suddenly being tagged as """"needing improvement""""?""",My questions on Quora all need improving. How do you ask a question on Quora?,"""On Quora, how does a question that's been """"marked for improvement"""" become validated?"""
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.63216,0.617596,True,A young girl is hoping from stone to stone in her bare feet.,A girl hops around.,A girl ties her shoes.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,1.12442,1.111392,True,A young girl is hoping from stone to stone in her bare feet.,A girl hops around.,A girl ties her shoes.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.683229,0.673667,True,A young girl is hoping from stone to stone in her bare feet.,A girl hops around.,A girl ties her shoes.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.632227,0.617706,True,A young girl is hoping from stone to stone in her bare feet.,A girl hops around.,A girl ties her shoes.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.481694,0.450033,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.981524,0.948718,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,15.380861,14.893419,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.565151,0.538901,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.486976,0.474564,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.481718,0.450068,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,22.074259,21.338117,True,A child drinking juice on the hood of a vintage car.,a child siting on a car,a child playing outside with a juice box
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.579447,0.549315,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,1.076519,1.048156,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,17.014618,16.114859,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.667425,0.601445,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.560691,0.515438,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.579239,0.549303,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,25.311327,22.334609,True,A man stands in front of a statue.,A man admires a work of art,A statue sits alone in a park
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,25.295028,25.158838,True,View over people's heads down an escalator toward a subway entrance.,People were indoors,People were outdoors
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,0.335621,0.018454,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-qqp,MR3-Duplicate-Question,0.819293,0.192114,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-qqp,MR3-Duplicate-Question,13.007412,3.011147,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,0.451741,0.094968,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,0.412791,0.094483,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,0.335703,0.018458,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,22.986696,6.496282,True,Which are the best ways to lose weight?,How do I suck it up and lose weight?,What are the best ways to lose weight?
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.576015,0.499398,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,1.073326,0.999398,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,16.594603,15.536582,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.627706,0.555729,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.526684,0.484593,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.575967,0.49933,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,24.467921,22.709159,True,"A girl in a red shirt and plaid hat, and a boy in a black sweatshirt and hat are in a playground, touching a blue seahorse.",Two children are playing outside.,The girl and boy are looking at a seahorse in the aquarium.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.419464,0.318615,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.91593,0.798267,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,14.322966,12.480927,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.522316,0.441561,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.466016,0.407209,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.419427,0.318503,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,21.469398,18.392862,True,A young fighter is practicing his punches with one of his peers.,Two fighters are sparring,A fighter is practicing his kicks
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.412362,0.411636,True,"A young girl, wearing a purple jacket, is holding a bucket and a mop.",A young girl is holding cleaning supplies.,An older woman is wearing a red jacket holding a mop.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.908143,0.907343,True,"A young girl, wearing a purple jacket, is holding a bucket and a mop.",A young girl is holding cleaning supplies.,An older woman is wearing a red jacket holding a mop.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.412574,0.411864,True,"A young girl, wearing a purple jacket, is holding a bucket and a mop.",A young girl is holding cleaning supplies.,An older woman is wearing a red jacket holding a mop.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,22.005992,21.371507,True,"A young girl, wearing a purple jacket, is holding a bucket and a mop.",A young girl is holding cleaning supplies.,An older woman is wearing a red jacket holding a mop.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,0.033586,0.017576,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,0.259175,0.187487,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,3.875674,2.861166,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,0.125761,0.092259,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,0.124746,0.091964,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,0.03358,0.017572,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,7.340169,5.283653,True,The man is playing the guitar.,A man is playing a guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.307896,0.298744,True,A musician with dreadlocks is preparing to play a guitar with a band.,A musician plays a guitar.,A guitar is playing itself near a musician.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.784724,0.772973,True,A musician with dreadlocks is preparing to play a guitar with a band.,A musician plays a guitar.,A guitar is playing itself near a musician.
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,12.426555,12.029988,True,A musician with dreadlocks is preparing to play a guitar with a band.,A musician plays a guitar.,A guitar is playing itself near a musician.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.438996,0.420248,True,A musician with dreadlocks is preparing to play a guitar with a band.,A musician plays a guitar.,A guitar is playing itself near a musician.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.402643,0.389058,True,A musician with dreadlocks is preparing to play a guitar with a band.,A musician plays a guitar.,A guitar is playing itself near a musician.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.307883,0.298749,True,A musician with dreadlocks is preparing to play a guitar with a band.,A musician plays a guitar.,A guitar is playing itself near a musician.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.106461,0.057575,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.461434,0.339339,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,7.382447,5.313478,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.236092,0.168151,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.230941,0.165849,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.10646,0.057559,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,12.725611,9.040658,True,A doberman puppy is trying to put a very large blue rubber ball in this mouth,A dog  is trying to put a very large blue rubber ball in this mouth,A doberman puppy is trying to put a very large red rubber ball in this mouth
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,17.747401,17.658333,True,Girl is waiting for the ball to come down as she plays tennis.,The girl is playing tennis.,The girl is not playing tennis.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.425854,0.260876,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.92288,0.722324,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,14.198093,11.233781,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.515982,0.391144,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.455054,0.364186,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.425861,0.260947,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,22.999317,17.497608,True,Two males stand by a board that says HELL.,Two males are standing.,Two males are going to Hell.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,0.018753,0.018753,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,0.193667,0.193667,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,3.030777,3.030777,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,0.098173,0.098173,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,0.097643,0.097643,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,0.018746,0.018746,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,6.033166,6.033166,True,A man plays the guitar.,A man is playing the guitar.,A man is playing the guitar.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.512408,0.190051,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,1.012332,0.616525,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,15.712017,9.492834,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.587601,0.32127,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.506608,0.306954,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.512337,0.190043,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,24.824492,17.368358,True,Two men pose with their motorcycles.,There are multiple humans with motorized two-wheel vehicles.,A candid photo of two men with motorcycles.
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.757745,0.654962,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,1.231052,1.144519,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,19.034626,17.897913,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.783652,0.719797,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.621224,0.582803,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.75776,0.654975,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,27.502242,23.114573,True,A crowd of possible supporters or protesters holding signs and fliers up.,There's more than one individual shown in the shot.,A group of animals gather to protest dog abuse
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,0.439468,0.439259,True,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,A woman is swimming in the water.
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,0.937516,0.937293,True,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,A woman is swimming in the water.
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,14.451132,14.230986,True,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,A woman is swimming in the water.
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,0.466231,0.459717,True,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,A woman is swimming in the water.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,0.439396,0.438905,True,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,A woman is swimming in the water.
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,25.754324,24.158696,True,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,A woman is swimming in the water.
